1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
1924年哪位运动员获得了冬奥会历史上第一枚金牌？,来自美国的运动员查尔斯·朱特劳
1924年夏慕尼冬奥会的地点是什么？,夏慕尼
1924年夏慕尼冬奥会的参赛国家有多少？,16个
1924年夏慕尼冬奥会的第几届冬奥会？,第一届
1924年夏慕尼冬奥会举办的时间是什么时候？,1924年1月25日至2月4日
1924年夏慕尼冬奥会的第一个比赛项目金牌获得者是谁？,查尔斯·朱特劳
1924年夏慕尼冬奥会的参赛运动员有多少人？,258人
1924年夏慕尼冬奥会的开幕式主持人是谁？,加斯东维达尔
1924年夏慕尼冬奥会瑞典、挪威等国认为什么？,既然已经有了一个传统的北欧运动会，再搞一个平行的冬奥会是没有什么必要的，再说，古奥运会也没有冬季项目
1924年夏慕尼冬奥会的重要性不言而喻，如果当时冬奥会没有什么？,瑞典、挪威等这类冰雪运动开展较普及、水平较高的国家参加，那就失去了代表性，失去了人们对它的兴趣
1924年夏慕尼冬奥会比赛项目有什么？,滑雪、滑冰、冰球和有舵雪橇
1924年夏慕尼冬奥会本届速滑除500米外，还有什么？,1500、5000、10000米和全能
维也纳在什么时候创办了一所花样滑冰学校，培养了不少在国际上享有盛誉的运动员？,19世纪末
1924年夏慕尼冬奥会滑雪项目北欧中谁具有明显优势？,挪威29岁的托雷夫·豪格
1924年夏慕尼冬奥会哪个国家在冰球项目方面占有明显优势？,加拿大，美国
1924年夏慕尼冬奥会在滑雪4个项目比赛中，多少枚奖牌几乎全被挪威囊括，仅芬兰的塔尼库在18公里赛中夺去了1枚铜牌,12
1924年夏慕尼冬奥会女子单人滑中，奥地利两次世界冠军黑·普兰克一索博轻松地获得了第几名？,第一名
1924年夏慕尼冬奥会瑞士一队获得了第几名？,第一名
1924年夏慕尼冬奥会最后决赛时，加拿大以6：1胜了美国，获得了什么？,金牌
为什么1924年夏慕尼冬奥会，国际奥委会也将这个体育周委托法国承办，会址定在夏慕尼？,因为第八届奥运会东道主是法国，
1924年夏慕尼冬奥会的称为什么？,为第八届奥林匹亚德体育周
1924年夏慕尼冬奥会1921年国际业余田径联合会布拉格会议期间哪些国家重新讨论了举办冬奥会问题，并提出了有关方案？,挪威、瑞典、瑞士、法国、加拿大等国
1924年夏慕尼冬奥会斯堪的纳维亚国家举行了北欧运动会，后来这项比赛形成了传统，直至多少年才停办？,1926
1924年夏慕尼冬奥会体育周于1924年1月25日至2月多少日举行？,4
1924年夏慕尼冬奥会运动员共294人，其中女选手13人，男选多少人？,281
1924年夏慕尼冬奥会他在有27人参加的500米速滑中取胜，成绩多少秒整？,44
1924年夏慕尼冬奥会奥地利在多少世纪初期是花样滑冰强国？,20
1924年夏慕尼冬奥会从1918年始至1923年，他在世界性的霍尔门科伦滑雪大赛中，7次在40公里、多少公里和两项全能赛中获取冠军？,50
1924年夏慕尼冬奥会跳雪和两项全能赛中，12枚奖牌几乎全被挪威囊括，仅芬兰的塔尼库在18公里赛中夺去了多少枚铜牌？,1
1924年夏慕尼冬奥会夏蒙尼奥运会之后，豪格又在霍尔门科伦滑雪大赛中夺得了多少公里冠军？,50
1924年夏慕尼冬奥会雪橇运动多少世纪就已在一些国家开展？,19
1924年夏慕尼冬奥会1908年奥地利首次举行了全国雪橇赛，随后，多少年德国也举办了这类全国赛？,1910
多少年国际业余田径联合会布拉格会议期间，挪威、瑞典、瑞士、法国、加拿大等国代表重新讨论了举办冬奥会问题，并提出了有关方案？,1921
1924年夏慕尼冬奥会体育周于多少年1月25日至2月4日举行？,1924
1924年夏慕尼冬奥会运动员共多少人，其中女选手13人，男选281人？,294
1924年夏慕尼冬奥会因为突然一次冰冻，使大会得以顺利进行。多少月25日，夏蒙尼天空清朗，大会正式开幕？,1
1924年夏慕尼冬奥会他在有多少人参加的500米速滑中取胜，成绩44秒整？,27
1924年夏慕尼冬奥会一人独得了多少枚金牌（1500、5000米和全能）和1枚银牌（1000米），是本届成绩最出色的运动员？,3
1924年夏慕尼冬奥会恩格尔曼曾获多少年世界冠军？,1913
1924年夏慕尼冬奥会时索尼娅·赫妮只有多少岁，是年龄最小的参赛选手？,11
1924年夏慕尼冬奥会从多少年始至1923年，他在世界性的霍尔门科伦滑雪大赛中，7次在40公里、50公里和两项全能赛中获取冠军？,1918
哪一年奥地利首次举行了全国雪橇赛，随后，1910年德国也举办了这类全国赛？,1908
1924年夏慕尼冬奥会本届仅多少项男子4人座，进入前六名的队均属欧洲？,1
1924年夏慕尼冬奥会预赛中，加拿大胜捷克斯洛伐克多少：0，胜瑞典22：0，胜瑞士33：0；美国胜英国11：0，胜比利时19：0，胜法国22：0？,30
1924年夏慕尼冬奥会最后决赛时，加拿大以多少：1胜了美国，获得金牌？,6
1924年夏慕尼冬奥会本届共多少个单项，挪威得金牌4枚，银牌7枚、铜牌7枚；居第二名的芬兰队金牌数与挪威相等，但银、铜牌少于挪威，分别为3枚、3枚；奥地利得金牌2枚，银牌1枚，居挪、芬之后？,14
1924年夏慕尼冬奥会冬奥会从多少年开始，为减轻主办国的负担，同一年内的冬、夏季奥运会被放到了不同国家举办？,1948
1924年夏慕尼冬奥会在法国夏蒙尼冬奥会上决出的第一个项目是男子多少米速度滑冰，来自美国的运动员查尔斯·朱特劳获得了这个项目的金牌，这也是冬奥会历史上的第一枚金牌？,500
1924年夏慕尼冬奥会在这届奥运会中，来自芬兰的速滑运动员克拉斯桑伯格夺取了多少金1银1铜，成为获得奖牌最多的运动员？,3
第四届冬季奥林匹克运动会于1936年在德国的哪个城市举行？,加米施和帕滕基兴
国际奥委会否定了其下属的国际滑雪联合会的比赛规则，不允许滑雪教练员参加奥运会，因为国际奥委会认为他们都是什么？,职业运动员，与国际奥委会只允许业余运动员参加比赛的精神相违背
1936年哪个比赛项目在本届奥运会上首次成为正式比赛项目？,高山滑雪
1936年主办方高效率的公共汽车服务将多少万观众带到了最后一天比赛的赛场？,50
1936年加米施-帕滕基兴冬奥会的中文名是什么？,1936年加米施-帕滕基兴冬奥会
1936年加米施-帕滕基兴冬奥会的举办地点哪？,德国加米施—帕滕基兴
1936年加米施-帕滕基兴冬奥会的参赛运动员有多少？,669人
1936年加米施-帕滕基兴冬奥会的举办时间是什么时候？,1936.2.6-16
1936年加米施-帕滕基兴冬奥会的参赛国家有多少？,28个
1936年加米施-帕滕基兴冬奥会是第几届冬奥会？,第四届
1936年加米施-帕滕基兴冬奥会谁蝉联了冠军？,挪威名将海妮
1936年加米施-帕滕基兴冬奥会冰球赛中有多少名加拿大运动员的英国队获得了这届冠军？,11名
1936年加米施-帕滕基兴冬奥会而在冰球比赛前，连续蝉联3届冠军的加拿大为什么对英国提出了抗议？,因为英国队中有8名主力选手是加拿大人，他们是出生于英国而后移民至加拿大，后来被英国招募回去的
1936年加米施-帕滕基兴冬奥会新项目包括什么？,包括了高山速降和超级大回转的高山滑雪在这届奥运会上第一次列为冬奥会的正式比赛项目
1936年加米施-帕滕基兴冬奥会科莱奇在该比赛中获得了几块银牌？,一块
1936年加米施-帕滕基兴冬奥会冰球赛中有11名加拿大运动员的英国队获得了第几名？,第一名
1936年加米施-帕滕基兴冬奥会加拿大的抗议被驳回，比赛结果英国获得了第几名？,第一名
为什么1936年加米施-帕滕基兴冬奥会有人认为她已成为职业运动员，没有资格参加这届奥运会？,因为冰舞为题材的影片，
1936年加米施-帕滕基兴冬奥会越野赛的前四名被以谁为首的瑞典选手包下？,埃-维克隆德
1936年加米施-帕滕基兴冬奥会冬季奥林匹克运动会于1936年2月6日至16日在德国加米施多少帕滕基兴举行？,2014
1936年加米施-帕滕基兴冬奥会查尔斯-马蒂森获1500米金牌，而巴兰格鲁德以多少秒之差在本项中屈居亚军？,1
1936年加米施-帕滕基兴冬奥会拉尔松夺冠，挪威的奥-哈根以1分多少秒之差屈居亚军？,5
